candidate_rank	word	combined_equal_corpus_ppm	hkcancor_count	cantomap_count	attested_both_spoken_corpora	cross_corpus_balance	hkcancor_top_pos	hkcancor_pos_counts	hkcancor_proper_like_share	hkcancor_jyutping_counts	cantomap_top_pos	cantomap_pos_counts	cantomap_jyutping_counts	cifu_top2000	cifu_rank	known_invalid_atomic	rime_present	rime_readings_compact	rime_source_files	review_flags	expert_status	expert_note
161	右邊	867.356422	0	168	false	0.000000			0.000000		f	f:117|n:36|Ng:8|x:3|d:2|Nsg:1|q:1	jau6bin1:168	true	189	false	true	jau6bin1|jau6bin6	jyut6ping3.words.dict.yaml	single_corpus_signal	unreviewed	
163	路線	855.933021	1	165	true	0.004772	n	n:1	0.000000	lou6sin3:1	n	n:155|v:5|a:3|Ng:2	lou6sin3:165	true	779	false	true	lou6sin3	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
164	地圖	849.346646	7	159	true	0.034664	n	n:7	0.000000	dei6tou4:7	n	n:157|a:2	dei6tou4:159	true	209	false	true	dei6tou4	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
165	忍依城	831.216571	0	161	false	0.000000			0.000000		v	v:77|ns:38|n:30|a:6|q:2|d:2|Ng:2|nt:1	jan2ji1sing4:161	false		false	false			single_corpus_signal|rime_absent	unreviewed	
166	蚊	829.281777	204	0	false	0.000000	q	q:200|n:4	0.000000	man1:204				true	459	false	true	man1|man4	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
167	甜項農莊	826.053735	0	160	false	0.000000			0.000000		n	n:91|a:28|v:21|x:5|Ng:5|nr:3|ns:2|z:1	tim4hong6nung4zong1:160	false		false	false			single_corpus_signal|rime_absent	unreviewed	
169	方向	814.630334	1	157	true	0.005015	n	n:1	0.000000	fong1hoeng3:1	n	n:73|a:33|Ng:30|v:7|x:5|m:3|q:2|t:2	fong1hoeng3:157	true	197	false	true	fong1hoeng3	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
170	左邊	810.565227	0	157	false	0.000000			0.000000		f	f:154|n:2|vu:1	zo2bin1:157	true	203	false	true	zo2bin1|zo2bin6	jyut6ping3.words.dict.yaml	single_corpus_signal	unreviewed	
171	或者	802.575378	186	9	true	0.061453	c	c:186	0.000000	waak6ze2:186	c	c:9	waak6ze2:9	true	99	false	true	waak6ze2	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
172	點解	802.575378	186	9	true	0.061453	r	r:186	0.000000	dim2gaai2:186	r	r:9	dim2gaai2:9	true	127	false	true	dim2gaai2	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
