r7_order	word	common_core	common_rank	common_combined_ppm	common_attested_both	cifu_rank	cifu_spoken_adult	cifu_reconstructed_jyutping	prior_audit_status	priority_action
185	返工	true	557	150.408950	false	595	48	false	handled_structurally	protect_common_frequency_candidate
186	着	true	457	215.450658	false	597	48	true	manual_review	protect_common_frequency_candidate
187	發覺	true	812	85.367242	false	599	48	false	handled_structurally	protect_common_frequency_candidate
188	落到	false				600	48	false	handled_structurally	atomic_retirement_candidate
189	繞過	false				601	48	true	manual_review	low_priority_review
190	一種	false				603	47	false	missing	low_priority_review
191	以	true	867	76.465109	true	604	47	false	missing	protect_common_frequency_candidate
192	包	true	255	482.133682	true	605	47	false	missing	protect_common_frequency_candidate
193	未必	true	679	109.757882	false	606	47	false	missing	protect_common_frequency_candidate
194	拍	true	782	90.530078	true	607	47	false	missing	protect_common_frequency_candidate
195	要求	true	790	89.432348	false	609	47	false	missing	protect_common_frequency_candidate
196	影響	true	979	63.172059	true	611	47	false	missing	protect_common_frequency_candidate
197	講到	false				613	47	false	handled_structurally	atomic_retirement_candidate
198	考慮	true	765	93.497455	false	617	46	false	missing	protect_common_frequency_candidate
199	某	true	1076	55.041846	true	619	46	false	missing	protect_common_frequency_candidate
200	唔夠	false				620	46	false	missing	low_priority_review
201	射	true	1701	26.586099	true	621	46	false	missing	protect_common_frequency_candidate
202	會話	false				622	46	false	handled_structurally	atomic_retirement_candidate
203	轉彎	true	464	211.676270	false	625	46	false	handled_structurally	protect_common_frequency_candidate
204	攬	true	1594	28.781557	true	626	46	false	missing	protect_common_frequency_candidate
205	水平	true	486	198.057411	true	628	45	false	handled_structurally	protect_common_frequency_candidate
206	其中	true	656	115.572337	true	631	45	false	missing	protect_common_frequency_candidate
207	教	true	442	225.004410	true	634	45	false	missing	protect_common_frequency_candidate
208	最好	true	1333	38.781419	true	635	45	false	handled_structurally	protect_common_frequency_candidate
209	磅	false				636	45	false	missing	low_priority_review
210	山路	true	1549	30.977015	false	637	44	false	handled_structurally	protect_common_frequency_candidate
211	公共	true	1572	29.879286	true	638	44	false	missing	protect_common_frequency_candidate
212	代表	true	1966	20.325534	false	640	44	false	missing	protect_common_frequency_candidate
213	好過	false				641	44	true	manual_review	low_priority_review
214	者	true	1876	23.618721	true	643	44	false	missing	protect_common_frequency_candidate
215	段	true	651	117.441986	true	644	44	false	missing	protect_common_frequency_candidate
216	發展	true	1165	48.781281	false	650	43	false	missing	protect_common_frequency_candidate
217	賺	true	548	158.539163	false	653	43	false	missing	protect_common_frequency_candidate
218	同一	false				655	42	false	handled_structurally	atomic_retirement_candidate
219	我見	false				657	42	true	manual_review	low_priority_review
220	接受	true	998	61.302411	true	660	42	false	missing	protect_common_frequency_candidate
221	貧大	false				662	42	true	manual_review	low_priority_review
222	分鐘	true	632	121.953202	false	668	41	false	handled_structurally	protect_common_frequency_candidate
223	平時	true	560	149.190920	true	671	41	false	handled_structurally	protect_common_frequency_candidate
224	打開	true	506	182.568903	true	672	41	false	handled_structurally	protect_common_frequency_candidate
225	起碼	true	701	105.692775	false	681	41	false	missing	protect_common_frequency_candidate
226	偏	true	311	360.300780	true	682	41	false	missing	protect_common_frequency_candidate
227	人工	true	620	126.018309	false	684	40	false	handled_structurally	protect_common_frequency_candidate
228	反而	true	761	93.497455	false	686	40	false	missing	protect_common_frequency_candidate
229	有陣	false				688	40	true	manual_review	low_priority_review
230	除	true	1887	22.520992	true	690	40	false	missing	protect_common_frequency_candidate
231	剪	true	430	235.776191	false	691	40	false	missing	protect_common_frequency_candidate
232	袋	true	626	124.148661	true	693	40	false	missing	protect_common_frequency_candidate
233	慢慢	true	703	104.800556	true	696	40	false	handled_structurally	protect_common_frequency_candidate
234	三個	false				698	39	true	manual_review	low_priority_review
235	女人	true	1288	40.651067	false	699	39	false	handled_structurally	protect_common_frequency_candidate
236	行過	false				702	39	true	manual_review	low_priority_review
237	所有	true	687	108.214043	true	703	39	false	missing	protect_common_frequency_candidate
238	直落	true	450	222.001941	false	704	39	false	manual_review	protect_common_frequency_candidate
239	後	true	593	137.321410	true	705	39	false	missing	protect_common_frequency_candidate
240	敢	true	887	73.171921	false	708	39	false	missing	protect_common_frequency_candidate
241	點呀	false				710	39	true	manual_review	low_priority_review
242	水平線	true	509	180.699254	false	712	38	false	manual_review	protect_common_frequency_candidate
243	例如	true	946	66.139437	true	713	38	false	missing	protect_common_frequency_candidate
244	直上	true	429	237.490449	false	715	38	false	manual_review	protect_common_frequency_candidate
245	直程	true	547	158.539163	false	716	38	true	manual_review	protect_common_frequency_candidate
246	個個	true	598	134.148523	false	717	38	false	handled_structurally	protect_common_frequency_candidate
247	畫個	false				720	38	true	manual_review	low_priority_review
248	一半	true	595	135.451761	true	722	37	false	handled_structurally	protect_common_frequency_candidate
249	左行	false				724	37	true	manual_review	low_priority_review
250	食飯	true	623	126.018309	false	725	37	true	manual_review	protect_common_frequency_candidate
251	下行	false				730	36	false	handled_structurally	atomic_retirement_candidate
252	包括	true	1987	20.325534	false	732	36	false	missing	protect_common_frequency_candidate
253	因	false				734	36	false	missing	low_priority_review
254	始終	true	915	69.106815	false	737	36	false	missing	protect_common_frequency_candidate
255	計	true	399	263.460019	true	739	36	false	missing	protect_common_frequency_candidate
256	個韻	false				740	36	true	manual_review	low_priority_review
257	原本	true	549	154.679566	true	741	36	false	missing	protect_common_frequency_candidate
258	連	true	345	318.466774	true	742	36	false	missing	protect_common_frequency_candidate
259	港人	false				743	36	false	handled_structurally	atomic_retirement_candidate
260	試過	false				744	36	true	manual_review	low_priority_review
261	大個	true	1789	24.390640	false	747	35	true	manual_review	protect_common_frequency_candidate
262	公務員	false				748	35	false	missing	low_priority_review
263	化	true	1988	20.325534	false	750	35	false	missing	protect_common_frequency_candidate
264	我個	false				752	35	true	manual_review	low_priority_review
265	我想	false				753	35	true	manual_review	low_priority_review
266	放棄	true	1638	28.455747	false	755	35	false	missing	protect_common_frequency_candidate
267	勇	true	1544	30.977015	false	756	35	false	missing	protect_common_frequency_candidate
268	神	true	764	93.497455	false	757	35	false	missing	protect_common_frequency_candidate
269	笨	true	645	118.745224	false	759	35	false	missing	protect_common_frequency_candidate
270	尊重	false				760	35	false	missing	low_priority_review
271	幾個	false				761	35	false	handled_structurally	atomic_retirement_candidate
272	棚	true	902	72.279702	false	762	35	false	missing	protect_common_frequency_candidate
273	會堂	false				763	35	false	missing	low_priority_review
274	講話	false				764	35	false	handled_structurally	atomic_retirement_candidate
275	礦	true	1730	25.814179	false	765	35	false	missing	protect_common_frequency_candidate
276	一份	false				766	34	true	manual_review	low_priority_review
277	大學	true	958	65.041708	false	767	34	false	handled_structurally	protect_common_frequency_candidate
278	之外	true	928	68.334895	true	768	34	false	missing	protect_common_frequency_candidate
279	介紹	true	647	117.888096	false	769	34	false	missing	protect_common_frequency_candidate
280	行為	true	1752	25.488370	true	770	34	false	missing	protect_common_frequency_candidate
281	忍依	false				771	34	true	manual_review	low_priority_review
282	投資	false				772	34	false	missing	low_priority_review
283	害	true	642	118.745224	false	774	34	false	missing	protect_common_frequency_candidate
284	堡	true	733	98.093881	false	777	34	false	missing	protect_common_frequency_candidate
285	當時	true	1395	36.585961	false	778	34	false	missing	protect_common_frequency_candidate
286	路線	true	163	855.933021	true	779	34	false	handled_structurally	protect_common_frequency_candidate
287	餐室	true	738	98.093881	false	781	34	false	missing	protect_common_frequency_candidate
288	黐線	true	864	77.237028	false	782	34	true	manual_review	protect_common_frequency_candidate
289	一年	false				783	33	true	manual_review	low_priority_review
290	令	true	1446	34.716312	true	785	33	false	missing	protect_common_frequency_candidate
291	右手	true	818	82.605373	false	786	33	false	handled_structurally	protect_common_frequency_candidate
292	外	false				787	33	false	missing	low_priority_review
293	有錢	true	961	65.041708	false	788	33	false	handled_structurally	protect_common_frequency_candidate
294	至	true	494	192.689065	true	789	33	false	missing	protect_common_frequency_candidate
295	表達	false				791	33	false	missing	low_priority_review
296	甚至	false				792	33	false	missing	low_priority_review
297	美	false				793	33	false	missing	low_priority_review
298	秩序	false				795	33	false	missing	low_priority_review
299	能力	true	891	73.171921	false	796	33	false	missing	protect_common_frequency_candidate
300	棵	true	352	312.737528	true	797	33	false	missing	protect_common_frequency_candidate
301	廣告	true	1488	32.520854	false	798	33	false	missing	protect_common_frequency_candidate
302	靠	true	794	89.312048	true	799	33	false	missing	protect_common_frequency_candidate
303	講下	false				800	33	true	manual_review	low_priority_review
304	○	false				801	32	true	manual_review	low_priority_review
305	上方	true	247	526.609256	false	802	32	false	missing	protect_common_frequency_candidate
306	只不過	true	1614	28.455747	false	803	32	true	manual_review	protect_common_frequency_candidate
307	永遠	true	1050	56.911494	false	804	32	false	missing	protect_common_frequency_candidate
308	生意	true	829	81.302135	false	805	32	false	handled_structurally	protect_common_frequency_candidate
309	好玩	true	675	110.855611	true	806	32	false	handled_structurally	protect_common_frequency_candidate
310	字典	true	580	142.278736	false	807	32	false	missing	protect_common_frequency_candidate
311	於	false				809	32	false	missing	low_priority_review
312	型	true	1118	52.400278	true	810	32	false	missing	protect_common_frequency_candidate
313	盆	true	1885	22.520992	true	811	32	false	missing	protect_common_frequency_candidate
314	飛機	true	558	149.842540	true	812	32	false	handled_structurally	protect_common_frequency_candidate
315	陣時	false				813	32	true	manual_review	low_priority_review
316	接近	true	594	137.201110	true	814	32	false	missing	protect_common_frequency_candidate
317	短	true	585	140.734897	true	815	32	false	missing	protect_common_frequency_candidate
318	機會	true	754	96.790643	true	816	32	false	handled_structurally	protect_common_frequency_candidate
319	講得	false				818	32	true	manual_review	low_priority_review
320	講過	false				819	32	true	manual_review	low_priority_review
321	我要	false				822	31	true	manual_review	low_priority_review
322	來講	false				823	31	true	manual_review	low_priority_review
323	制度	true	1357	36.585961	false	824	31	false	missing	protect_common_frequency_candidate
324	面對	true	1860	24.390640	false	826	31	false	handled_structurally	protect_common_frequency_candidate
325	案	false				828	31	false	missing	low_priority_review
326	晚	true	861	77.237028	false	829	31	false	missing	protect_common_frequency_candidate
327	無論	false				830	31	false	missing	low_priority_review
328	圓形	true	628	123.908060	false	831	31	false	missing	protect_common_frequency_candidate
329	感受	false				832	31	false	missing	low_priority_review
330	嘍	true	536	166.223267	true	833	31	false	missing	protect_common_frequency_candidate
331	鼻	true	635	121.712602	true	834	31	false	missing	protect_common_frequency_candidate
332	嘿	true	621	126.018309	false	835	31	false	missing	protect_common_frequency_candidate
333	嬋	false				836	31	false	missing	low_priority_review
334	數碼	false				837	31	false	missing	low_priority_review
335	誰	false				838	31	false	missing	low_priority_review
336	一陣	true	1073	55.367656	true	839	30	false	handled_structurally	protect_common_frequency_candidate
337	一間	false				840	30	true	manual_review	low_priority_review
338	大佬	true	625	124.148661	true	841	30	false	missing	protect_common_frequency_candidate
