rank	word	cifu_spoken_adult	cifu_jyutping	cifu_definition	cifu_structure	runtime_status	runtime_module	runtime_jyutping	runtime_meta	structural_path
1717	對面	12	deoi3min6	opposite	⿰&CDP-8BBD;寸:⿱丆囬	missing				
1718	製造	12	zai3zou6	to manufacture/to make	⿱制衣:⿺辶告[GTJV],⿺辶吿[K]	missing				
1719	增長	12	zang1zoeng2	to grow/to increase	⿰土曾:⿳&CDP-884A;一&CDP-8CC6;	missing				
1720	黎明	12	lai4ming4	dawn/daybreak	⿱𥝢&CDP-8D71;:⿰日月	missing				
1721	橫線	12	waang4sin3	horizontal line/horizontal coordinate line	⿰木黃:⿰糹泉[GT],⿰糸泉[JK]	missing				
1722	澳門	12	ou3mun2	Macao/Macau	⿰氵奥[G],⿰氵奧[TJK]:⿰𠁣𠃛	missing				
1723	燒	12	siu1	to burn/to cook/to stew/to bake/to roast/fever	⿰火堯	missing				
1724	興	12	hing1|hing3	flourish/it is the fashion to/to become popular/interest	⿶&CDP-8BA8;同	missing				
1725	龜	12	gwai1	tortoise/turtle/CL:隻[jek]/the police/cowardly	龜	missing				
1726	尷尬	12	gaam3gaai3	awkward/embarrassed	⿺尢監:⿺尢介	missing				
1727	闊	12	fut3	rich/wide/broad/generous, big spending	⿵門活	covered_main	referents-and-boundaries.js	fut3	like:stative_predicate width_property	
1728	邊有	12	*bin1jau5	NO DEF	⿺辶臱:⿸𠂇月	missing				
1729	響	12	hoeng2	echo/sound/noise/to make a sound/to sound/to ring/loud/classifier for noises (Mandarin)	⿱鄉音[GTV],⿱郷音[J],⿱鄕音[K]	missing				
1730	爛	12	laan6	soft/mushy/well-cooked and soft/to rot/to decompose/rotten/worn out/chaotic/messy/utterly/thoroughly	⿰火闌	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
1731	聽過	12	*teng1|ting1|ting3gwo3	NO DEF	⿰&CDP-8BD1;𢛳:⿺辶咼	handled_structurally				src/runtime-resources/lexicon/compositional-lexical-phrases.js
1732	廳	12	teng1	(reception) hall/office	⿸广聽	handled_structurally				src/runtime-resources/normalization/simplified-to-traditional.js
1733	一句	11	jat1geoi3	a line of verse/a sentence	一:⿹勹口	missing				
1734	一號	11	jat1hou6	first day of the month	一:⿰号虎	missing				
1735	九月	11	gau2jyut6	ninth month/September	九:月	missing				
1736	人話	11	*jan4waa6|waa2	NO DEF	人:⿰言舌	missing				
1737	千祈	11	*cin1kei4	NO DEF	⿱丿十:⿰礻斤[GTJ],⿰示斤[K]	missing				
1738	工人	11	gung1jan4	worker	工:人	missing				
1739	工業	11	gung1jip6	industry	工:⿱业𦍎	missing				
1740	五個	11	*ng5go3	NO DEF	⿱一𫝀:⿰亻固	missing				
1741	及	11	kap6	and/to reach/up to/in time for	及	missing				
1742	反對	11	faan2deoi3	to fight against/to oppose/to be opposed to/opposition	⿸𠂆又[G],⿸厂又[TJKV]:⿰&CDP-8BBD;寸	missing				
1743	巴士	11	baa1si2	bus/motor coach	巴:⿱十一	covered_main	study-suite.js	baa1 si2	what:transport_noun object_np	
1744	心胸	11	sam1hung1	breadth of mind	心:⿰月匈[GJK],⿰⺼匈[TV]	missing				
1745	比例	11	bei2lai6	proportion/scale	比:⿰亻列	missing				
1746	牛肉	11	ngau4juk6	beef	牛:肉	missing				
1747	冬天	11	dung1tin1	winter	⿱夂⺀[GTJV],⿱夂冫[K]:⿱一大	missing				
1748	出版	11	ceot1baan2	to publish/to come off the press/to put out	⿱屮凵:⿰片反	missing				
1749	半年	11	bun3nin4	half a year	⿱丷&CDP-8BF1;[GTJV],⿱八&CDP-8BF1;[K]:年	missing				
