rank	word	cifu_spoken_adult	cifu_jyutping	cifu_definition	cifu_structure	runtime_status	runtime_module	runtime_jyutping	runtime_meta	structural_path
885	中國	28	zung1gwok3	China/Middle Kingdom	⿻口丨:⿴囗或	covered_main	study-suite.js	zung1 gwok3	where:proper_place country_name	
886	今晚	28	gam1maan5	tonight	⿱亽㇇[G],⿱亼㇇[TJKV]:⿰日免	missing				
887	右手面	28	jau6sau2min6	NO DEF	⿸𠂇口:手:⿱丆囬	missing				
888	左手	28	zo2sau2	NO DEF	⿸𠂇工:手	missing				
889	平衡	28	ping4hang4	balance/equilibrium	⿻干丷[GTJV],⿻干八[K],⿱一&CDP-8A64;:⿲彳𩵋亍	missing				
890	好難	28	*hou2|hou3naan6|naan4	NO DEF	⿰女子:⿰&CDP-8BD3;隹[GTKV],⿰𦰩隹[J]	missing				
891	成為	28	sing4wai4	to become/to turn into	⿵戊𠃌:為	missing				
892	成績	28	sing4zik1	achievement/performance records/grades	⿵戊𠃌:⿰糹責[GTV],⿰糸責[JK]	missing				
893	周圍	28	zau1wai4	surroundings/environment/to encompass	⿵⺆𠮷[GTJV],⿵⺆⿱&CDP-8BF1;口[K]:⿴囗韋	missing				
894	明明	28	ming4ming4	obviously/plainly/undoubtedly/definitely	⿰日月:⿰日月	missing				
895	肥	28	fei4	fat/fertile/loose-fitting or large/to fertilize/to become rich by illegal means/fertilizer/manure	⿰月巴[GJK],⿰⺼巴[TV]	missing				
896	返到	28	*faan1|faan2dou3	NO DEF	⿺辶反:⿰至刂	missing				
897	非常	28	fei1soeng4	unusual/extraordinary/extreme/very/exceptional	非:⿱𫩠巾	missing				
898	屋	28	uk1|nguk1	house/room	⿸尸至	covered_main	verbs.js	uk1	what:object_np house_noun	
899	科	28	fo1	branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes etc)/to fine sb	⿰禾斗	missing				
900	美國	28	mei5gwok3	America/American/United States of America/USA	⿱𦍌大:⿴囗或	covered_main	study-suite.js	mei5 gwok3	where:proper_place country_name	
901	送	28	sung3	to deliver/to carry/to give (as a present)/to present (with)/to see off/to send	⿺辶关	missing				
902	圈	28	hyun1|gyun6	circle/ring/loop/classifier for loops, orbits, laps of race etc/CL:個[go]/to surround/to circle|pen (pig)/a fold/to confine/to lock up/to pen in	⿴囗卷	missing				
903	國際	28	gwok3zai3	international	⿴囗或:⿰阝祭	missing				
904	寄	28	gei3	to live (in a house)/to lodge/to mail/to send/to entrust/to depend	⿱宀奇	covered_main	places-and-times.js	gei3	doing:verb transitive_affordance transfer_action	
905	彭銅	28	*pang4tung4	NO DEF	⿰壴彡:⿰金同	missing				
906	無	28	mou4	-less/not to have/no/none/not/to lack/un-	⿱&CDP-8BBE;灬	missing				
907	絕對	28	zyut6deoi3	absolute/unconditional	⿰糹&CDP-8CEA;:⿰&CDP-8BBD;寸	missing				
908	跑	28	paau2	to run/to escape/race	⿰𧾷包	covered_main	referents-and-boundaries.js	paau2	doing:verb running_verb action_verb	
909	郵票	28	jau4piu3	(postage) stamp	⿰垂阝:⿱覀示	missing				
910	經歷	28	ging1lik6	experience/go through	⿰糹巠[GTV],⿰糸巠[JK]:⿸厤止	missing				
911	整	28	zing2	exactly/in good order/whole/complete/entire/in order/orderly/to repair/to mend/to renovate/to make sb suffer/to punish/to fix/to give sb a hard time/to give/to fetch/to trick	⿱敕正	covered_main	verbs.js	zing2	doing:verb make_fix_verb	
912	點講	28	*dim2gong2	NO DEF	⿰黑占:⿰言冓	missing				
913	關於	28	gwaan1jyu1	pertaining to/concerning/regarding/with regards to/about/a matter of	⿵門𢇇:⿰方仒	covered_main	referents-and-boundaries.js	gwaan1 jyu1	func:relational_topic_coverb discourse_topic_marker	
914	一下	27	jat1haa5	(used after a verb) give it a go/to do (sth for a bit to give it a try)	一:⿱一卜	missing				
915	之下	27	zi1haa6	under/beneath/less than	⿱丶&CDP-8661;:⿱一卜	missing				
916	未來	27	mei6loi4	future/tomorrow/approaching/coming/pending	未:⿻木从	missing				
917	同事	27	tung4si6	colleague/co-worker	⿵𠔼口:事	covered_main	people-and-address.js	tung4 si6	who:person_np	
918	見過	27	gin3gwo3	to have seen	⿱目儿:⿺辶咼	missing				
919	個樣	27	*go3joeng6	NO DEF	⿰亻固:⿰木羕	missing				
920	衰	27	seoi1|ceoi1	to decline/to wane/to become weak or feeble/bad, irritating, useless, annoying/to be arrested or convicted of an offence/losing face	⿳亠&CDP-89EF;𧘇	missing				
921	教書	27	gaau3syu1	to teach (in a school)	⿰孝攵:⿱&CDP-8BC6;日	missing				
922	透過	27	tau3gwo3	through/via	⿺辶秀:⿺辶咼	missing				
923	景點	27	ging2dim2	scenery/scenic spot/place of interest (tourism)	⿱日京:⿰黑占	missing				
924	結果	27	git3gwo2	to bear fruit	⿰糹吉[GTV],⿰糸吉[JK]:⿻日木	missing				
925	圓	27	jyun4	circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (Yuan)/tactful/to justify	⿴囗員	missing				
926	萬	27	maan6	ten thousand/a great number/surname Meng	⿱艹禺	covered_main	referents-and-boundaries.js	maan6	how:quantity numeric_unit ten_thousand_unit	
927	跳	27	tiu3	to jump/to hop/to skip over/to bounce/to palpitate	⿰𧾷兆	covered_main	verbs.js	tiu3	doing:verb jump_verb	
928	過程	27	gwo3cing4	course of events/process	⿺辶咼:⿰禾呈	missing				
929	幣	27	bai6	money/coins/currency	⿱敝巾	missing				
930	橢圓	27	to5jyun4	oval/ellipse/elliptic	⿰木隋:⿴囗員	missing				
931	壓力	27	aat3lik6	pressure	⿱厭土[GJ],⿸厭土[TKV]:⿻丿𠃌	covered_main	referents-and-boundaries.js	aat3 lik6	what:abstract_noun object_np topic_np	
932	薯	27	syu4|syu5	potato/yam	⿱艹署	missing				
933	體	27	tai2	body/form/style/system	⿰骨豊	missing				
934	小心	26	siu2sam1	to be careful/to take care	小:心	covered_main	statives.js	siu2 sam1	how:manner_degree_word degree_manner_head	
935	互聯網	26	wu6lyun4mong5	the Internet	⿱一彑:⿰耳𢇇:⿰糹罔[GTV],⿰糸罔[JK]	missing				
936	公仔	26	gung1zai2	doll/cuddly toy	⿱八厶:⿰亻子	missing				
937	手邊	26	*sau2bin1	NO DEF	手:⿺辶臱	missing				
938	北行	26	*bak1hang4|haang4|hang6|hong4|hong2	NO DEF	⿰&CDP-8BC5;匕:⿰彳亍	missing				
939	正常	26	zing3soeng4	regular/normal/ordinary	⿱一止,⿱&CDP-87FD;一:⿱𫩠巾	missing				
940	企	26	kei5	to stand/to plan a project/abbr. for 企業, enterprise or company	⿱人止	covered_main	verbs.js	kei5	doing:verb	
941	全	26	cyun4	all/whole/entire/every/complete/a surname	⿱人王[GJ],⿱入王[TKV]	covered_main	referents-and-boundaries.js	cyun4	like:stative_predicate completeness_property	
942	好奇	26	hou3kei4	inquisitive/curious	⿰女子:⿱大可	surface_covered_sense_uncertain	referents-and-boundaries.js	hou2 kei4	like:stative_predicate emotion_state_stative	
943	作為	26	zok3wai4	one's conduct/deed/activity/accomplishment/achievement/to act as/as (in the capacity of)/qua/to view as/to look upon (sth as)/to take sth to be	⿰亻乍:為	missing				
944	利益	26	lei6jik1	benefit/(in sb's) interest	⿰禾刂:⿱&CDP-8CF0;皿[GTJV],⿱⿳八一八皿[K],⿱&CDP-8864;皿[X]	missing				
945	努力	26	nou5lik6	great effort/to strive/to try hard	⿱奴力:⿻丿𠃌	missing				
946	改革	26	goi2gaak3	to reform	⿰己攵:革	missing				
947	私營化	26	*si1jing4faa3	NO DEF	⿰禾厶:⿱𤇾呂[G],⿱𤇾吕[TJK]:⿰亻𠤎[G],⿰亻匕[TJKV]	missing				
948	法庭	26	faat3ting4	court (of law)	⿰氵去:⿸广廷	missing				
949	留意	26	lau4ji3	to take care/mindful	⿱&CDP-8C69;田:⿱音心	missing				
950	起身	26	hei2san1	to get up/to leave/to set forth	⿺走巳[GJK],⿺走己[TV]:身	missing				
951	掛住	26	*gwaa3zyu6	NO DEF	⿰扌卦,⿰挂卜:⿰亻主	missing				
952	第日	26	*dai6jat6	NO DEF	⿱竹𢎨:日	missing				
953	等如	26	*dang2jyu4	NO DEF	⿱竹寺:⿰女口	missing				
954	舒服	26	syu1fuk6	comfortable/feeling well	⿰舍予:⿰月𠬝	covered_main	study-suite.js	syu1 fuk6	like:stative_predicate physical_condition	
955	街	26	gaai1	street/CL:條[tìuh]	⿲彳圭亍	covered_main	referents-and-boundaries.js	gaai1	where:place_np street_noun	
956	開支	26	hoi1zi1	expenditures/pay/expenses	⿵門开:⿱十又	missing				
957	亂	26	lyun6	in confusion/disorderly	⿰𤔔乚	covered_main	study-suite.js	lyun6	how:manner_adverb disorderly_manner	
958	愛	26	oi3|ngoi3	to love/affection/to be fond of/to like	⿱&CDP-8BB8;𢖻	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
959	腳	26	goek3	foot/leg/base/CL:雙[sēung](Mandarin)/CL:對[deui]/CL:隻[jek]/kick/role/a player in mahjong/a player in a drinking game	⿰月卻[GK],⿰⺼卻[T]	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
960	旗	26	kei4	banner/flag/a hire, a trip with a customer (taxi driver jargon)/(in Qing times) refers to Manchurian ruling class, from 八旗[baat kèih] eight banners/administrative subdivision in inner Mongolia equivalent to 縣 county/CL:支[jī]/CL:面[mihn](Mandarin)	⿰方&CDP-8CFC;	missing				
961	認為	26	jing6wai4	to believe/to think/to consider/to feel	⿰言忍:為	covered_main	verbs.js	jing6 wai4	doing:cognition_opinion_predicate belief_predicate	
962	遲啲	26	ci4di1	later	⿺辶犀:⿰口的	missing				
963	頹餐	26	*teoi4caan1	NO DEF	⿰禿頁:⿱𣦼食	missing				
964	上市	25	soeng5si5	on the market/to float (a company on the stock market)	⿱⺊一:⿱亠巾	missing				
965	公約	25	gung1joek3	convention (i.e. international agreement)	⿱八厶:⿰糹勺[GTV],⿰糸勺[JK]	missing				
966	支持	25	zi1ci4	to be in favor of/to support/to back/support/backing/to stand by	⿱十又:⿰扌寺	missing				
967	方式	25	fong1sik1	way (of life)/pattern/style/mode/manner	⿱亠&CDP-8B6C;:⿹弋工	missing				
968	方便	25	fong1bin6	convenient/to help out/to make things easy for people/convenience/suitable/having money to spare/(euphemism) to go to the toilet	⿱亠&CDP-8B6C;:⿰亻更	missing				
969	日子	25	jat6zi2	day/a (calendar) date/days of one's life	日:子	missing				
970	奶茶	25	naai5caa4	milk tea	⿰女乃:⿳艹人朩	missing				
971	左手面	25	zo2sau2min6	NO DEF	⿸𠂇工:手:⿱丆囬	missing				
972	市	25	si5	market/city	⿱亠巾	covered_main	study-suite.js	si5	what:place_or_market_noun head_noun	
973	正話	25	zing3waa6	NO DEF	⿱一止,⿱&CDP-87FD;一:⿰言舌	missing				
974	好彩	25	hou2coi2	NO DEF	⿰女子:⿰采彡	missing				
975	色	25	sik1	color/look/appearance/sex/dice	⿱𠂊巴	covered_main	study-suite.js	sik1	what:color_noun head_noun	
976	決定	25	kyut3ding6	to decide (to do something)/to determine/to resolve	⿰氵夬:⿱宀𤴓	missing				
977	兩年	25	loeng5nin4	two years	⿱一&CDP-8C62;:年	missing				
978	受害	25	sau6hoi6	to suffer damage, injury etc/damaged/injured/killed/robbed	⿱&CDP-8BB8;又:⿱𫲸口[GK],⿳宀龶口[TJV]	missing				
979	夜晚	25	je6maan5	night	⿱亠⿰亻&CDP-89F3;:⿰日免	covered_main	places-and-times.js	je6 maan5	when:temporal_adjunct	
980	沿住	25	*jyun4zyu6	NO DEF	⿰氵⿱几口[GK],⿰氵⿱儿口[TV],⿰氵㕣[J]:⿰亻主	covered_main	verbs.js	jyun4 zyu6	func:path_coverb	
981	門	25	mun4	gate/door/CL:道[douh]/opening/valve/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/CL:扇[shan4] (Mandarin)	⿰𠁣𠃛	covered_main	study-suite.js	mun4	what:door_noun head_noun	
982	附近	25	fu6gan6	(in the) vicinity/nearby/neighboring/next to	⿰阝付:⿺辶斤	covered_main	study-suite.js	fu6 gan6	where:relative_place_expression	
983	咸	25	haam4	all/everyone/each/widespread/harmonious/a surname	⿵戌口	missing				
984	英	25	jing1	handsome/admirable/smart/great/heroic/braveEnglish/surname Ying	⿱艹央	missing				
985	唔通	25	m4tung1	could it be	⿰口吾:⿺辶甬	missing				
986	真正	25	zan1zing3	genuine/real/true/genuinely	⿱十具:⿱一止,⿱&CDP-87FD;一	missing				
987	停低	25	ting4dai1	NO DEF	⿰亻亭:⿰亻氐	missing				
988	幾年	25	gei2nin4	a few years/several years	⿹&CDP-8BA4;人:年	missing				
989	無聊	25	mou4liu4	bored/boring/senseless	⿱&CDP-8BBE;灬:⿰耳卯	missing				
990	選擇	25	syun2zaak6	to select/to pick/choice/option/alternative	⿺辶巽:⿰扌睪	missing				
991	頭髮	25	tau4faat3	hair (on the head)	⿰豆頁:⿱髟犮	missing				
992	類似	25	leoi6ci5	similar/analogous	⿰类頁[GTKV],⿰类頁[J]:⿰亻以	missing				
993	鐘頭	25	zung1tau4	hour	⿰金童:⿰豆頁	missing				
994	千	24	cin1	thousand	⿱丿十	covered_main	referents-and-boundaries.js;places-and-times.js	cin1	how:quantity numeric_unit thousand_unit;how:quantity count_value numeral_thousand	
995	口	24	hau2	mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc) (Mandarin)/classifier for bites or mouthfuls (Mandarin)	口	covered_main	study-suite.js	hau2	what:noun opening_or_mouth head_noun	
996	手指	24	sau2zi2	finger	手:⿰扌旨	missing				
997	四個	24	*sei3go3	NO DEF	⿴囗儿:⿰亻固	missing				
998	交	24	gaau1	to hand over/to deliver/to pay (money)/to turn over/to make friends/to intersect (lines)	⿱亠父	covered_main	verbs.js	gaau1	doing:verb hand_over_verb	
999	同人	24	*tung4jan4	NO DEF	⿵𠔼口:人	missing				
1000	在乎	24	zoi6fu4	determined by/to care about/to mind	⿸&CDP-88F1;土:乎	missing				
1001	如	24	jyu4	as/as if/such as	⿰女口	covered_main	referents-and-boundaries.js	jyu4	func:verb_conjunction comparison_or_condition_marker	
1002	有條	24	jau5tiu4	streakiness	⿸𠂇月:⿰&CDP-8B7A;条[G],⿰&CDP-8B7A;&CDP-8BFB;[TJKV]	missing				
1003	改	24	goi2	to change/to alter/to transform/to correct	⿰己攵	covered_main	study-suite.js	goi2	doing:verb change_verb transitive_verb	
1004	其	24	kei4	his/her/its/theirs/that/such/it (refers to sth preceding it)	⿱&CDP-8B72;八	missing				
1005	拖	24	to1	to drag/to pull/to trail/to delay/to drag on/to lead	⿰扌㐌	missing				
1006	後來	24	hau6loi4	afterwards/later	⿰彳⿱幺夂[GJKV],⿰彳&CDP-8B7B;[HT]:⿻木从	missing				
1007	研究	24	jin4gau3	research/a study/CL:項|项[xiang4]	⿰石开:⿱穴九	missing				
1008	衫	24	saam1|sam1	clothes	⿰衤彡	covered_main	things.js	saam1	what:object_np clothing_np	
1009	限制	24	haan6zai3	(impose) restrictions/to limit/to bound/to restrict	⿰阝艮:⿰&CDP-89EC;刂	missing				
1010	值	24	zik6	value/(to be) worth/to happen	⿰亻直	missing				
1011	婆	24	po4	grandmother/matron/mother-in-law	⿱波女	missing				
1012	得意	24	dak1ji3	cute/strange/proud of oneself/pleased with oneself/complacent	⿰彳㝵:⿱音心	missing				
1013	條路	24	*tiu4lou6	NO DEF	⿰&CDP-8B7A;条[G],⿰&CDP-8B7A;&CDP-8BFB;[TJKV]:⿰𧾷各	missing				
1014	添	24	tim1	to add/to increase/to replenish	⿰氵忝	missing				
1015	曾經	24	cang4ging1	once/already/former/previously/ever/(past tense marker used before verb or clause)	⿱丷𭥴[GTV],⿱八𭥴[JK]:⿰糹巠[GTV],⿰糸巠[JK]	missing				
1016	答	24	daap3	reply/answer/return/respond/echo/to answer/agree	⿱竹合	covered_main	verbs.js	daap3	doing:verb	
1017	搬	24	bun1	to move/to shift/to remove/to transport/fig. to apply indiscriminately/to copy mechanically	⿰扌般	covered_main	study-suite.js	bun1	doing:verb relocation_verb	
1018	會考	24	*wui5|wui6|wui2haau2	NO DEF	⿱亼𭥴:⿸耂丂	missing				
1019	經驗	24	ging1jim6	to experience/experience	⿰糹巠[GTV],⿰糸巠[JK]:⿰馬僉	missing				
1020	態度	24	taai3dou6	manner/bearing/attitude/approach	⿱能心:⿸广&CDP-8C46;	missing				
1021	慘	24	caam2	miserable/wretched/cruel/inhuman/seriously/badly/tragic	⿰忄參	missing				
1022	盡量	24	zeon6loeng6	as much as possible/to the greatest extent	⿱𭴘皿:⿱旦里	missing				
1023	網絡	24	mong5lok3	network (computer, telecom etc)	⿰糹罔[GTV],⿰糸罔[JK]:⿰糹各[GTV],⿰糸各[JK]	missing				
1024	緊張	24	gan2zoeng1	nervous/keyed up/intense/tense/strained/in short supply/scarce	⿱臤糸:⿰弓長	covered_main	referents-and-boundaries.js	gan2 zoeng1	like:stative_predicate emotion_state_stative	
1025	價值	24	gaa3zik6	value/worth/fig. values (ethical, cultural etc)	⿰亻賈:⿰亻直	missing				
1026	噉樣樣	24	*gam2joeng2joeng6	NO DEF	⿰口敢:⿰木羕:⿰木羕	missing				
1027	影	24	jing2	picture/image/film/movie/photograph/reflection/shadow/trace	⿰景彡	covered_main	referents-and-boundaries.js	jing2	doing:verb photographing_verb transitive_affordance	
1028	橋	24	kiu4	bridge	⿰木喬	missing				
1029	餐	24	caan1	a meal	⿱𣦼食	missing				
1030	講呀	24	*gong2aa3|aa1|aa6	NO DEF	⿰言冓:⿰口牙	missing				
1031	點呢	24	*dim2ne1|ni1|nei1	NO DEF	⿰黑占:⿰口尼	missing				
1032	一段	23	*jat1dyun6	NO DEF	一:⿰&CDP-8CE4;殳	missing				
1033	一般	23	jat1bun1	same/ordinary/common/general/generally/in general	一:⿰舟殳	missing				
1034	一張	23	jat1zoeng1	sheet	一:⿰弓長	missing				
1035	八月	23	baat3jyut6	August/eighth month (of the lunar year)	八:月	missing				
1036	下個	23	*haa6go3	NO DEF	⿱一卜:⿰亻固	missing				
1037	大部份	23	daai6bou6fan6	in large part/the greater part/the majority	⿻一人:⿰咅阝:⿰亻分	missing				
1038	女性	23	neoi5sing3	the female sex/a woman	女:⿰忄生	missing				
1039	尤其	23	jau4kei4	especially/particularly	⿺尢丶:⿱&CDP-8B72;八	missing				
1040	外圍	23	ngoi6wai4	(outside the boundary)/surrounding/illegal betting	⿰夕卜:⿴囗韋	missing				
1041	皮池	23	*pei4ci4	NO DEF	皮:⿰氵也	missing				
1042	刑事	23	jing4si6	criminal/penal	⿰开刂:事	missing				
1043	而且	23	ji4ce2	not only ... but also/as well as/moreover/in addition/furthermore	⿱一𦓐:且	missing				
1044	抑或	23	*jik1waak6	NO DEF	⿰扌卬:⿹戈&CDP-8BE2;	missing				
1045	到時	23	dou3si4	at that (future) time	⿰至刂:⿰日寺	covered_main	places-and-times.js	dou3 si4	when:temporal_adjunct	
1046	拉	23	laai1|laa1	to pull/to play (string instruments)/to drag/to draw	⿰扌立	missing				
1047	欣	23	jan1	happy	⿰斤欠	missing				
1048	南行	23	*naam4hang4|haang4|hang6|hong4|hong2	NO DEF	⿱十&CDP-8BDC;:⿰彳亍	missing				
1049	咯	23	gaak3|lo1|lok3|gok3	(final particle similar to 了, indicating that sth is obvious)/(phonetic)/cough (blood)/to argue/debate	⿰口各	missing				
1050	重係	23	*zung6|cung4|cung5hai6	NO DEF	重:⿰亻系	missing				
1051	凍	23	dung3	cold/to freeze/aspic or jelly	⿰冫東	covered_main	statives.js	dung3	like:stative_predicate ambient_property_predicate temperature_property	
1052	馬	23	maa5	horse/CL:隻[jek],匹[pāt]/a junior employee/a subordinate	⿹&CDP-896A;灬	missing				
1053	帳	23	zoeng3	account/mosquito net/tent/curtain/debt/credit	⿰巾長	missing				
1054	常	23	soeng4	always/ever/often/frequently/common/general/constant/surname Chang	⿱𫩠巾	missing				
1055	陶	23	tou4	pottery/pleased/surname Tao	⿰阝匋	missing				
1056	麻煩	23	maa4faan4	inconvenient/troublesome/annoying/to trouble or bother sb/to put sb to trouble	⿸广林[GJ],⿸广𣏟[TKV]:⿰火頁	missing				
1057	暑假	23	syu2gaa3	summer vacation	⿱日者:⿰亻叚	missing				
1058	發現	23	faat3jin6	to find/to discover	⿱癶𭚧:⿰王見	missing				
1059	睇法	23	*tai2faat3	NO DEF	⿰目弟:⿰氵去	missing				
1060	程度	23	cing4dou6	degree (level or extent)/level	⿰禾呈:⿸广&CDP-8C46;	missing				
1061	塊	23	faai3	lump (of earth)/piece/classifier for pieces of cloth	⿰土鬼	covered_main	verbs.js	faai3	measure_word:classifier_flat_piece	
1062	試	23	si3	to test/to try/experiment/examination/test	⿰言式	covered_main	verbs.js	si3	doing:verb	
1063	嘥	23	saai1	waste	⿰口徙	missing				
1064	澳洲	23	ou3zau1	Australia (continent)/abbr. for 澳大利亞|澳大利亚	⿰氵奥[G],⿰氵奧[TJK]:⿰氵州	missing				
1065	講啦	23	*gong2laa1|laa3	NO DEF	⿰言冓:⿰口拉	missing				
1066	點算	23	*dim2syun3	NO DEF	⿰黑占:⿱竹𥃲	missing				
1067	聽日	23	ting1jat6	tomorrow	⿰&CDP-8BD1;𢛳:日	covered_main	places-and-times.js	ting1 jat6	when:temporal_adjunct	
1068	聽講	23	teng1gong2	to attend a lecture/to listen to a talk	⿰&CDP-8BD1;𢛳:⿰言冓	handled_structurally				src/parser/features/token-features.js
1069	入邊	22	*jap6bin1	NO DEF	入:⿺辶臱	covered_main	verbs.js	jap6 bin1	where:place_np interior_location	
1070	力	22	lik6	power/force/strength/ability/strenuously	⿻丿𠃌	missing				
1071	冇事	22	*mou5si6	NO DEF	⿸𠂇冂:事	missing				
1072	功課	22	gung1fo3	homework/assignment/task/classwork/lesson/study	⿰工力:⿰言果	covered_main	things.js	gung1 fo3	what:object_np	
1073	左下角	22	*zo2haa6gok3	NO DEF	⿸𠂇工:⿱一卜:角	missing				
1074	左畫	22	*zo2waak6|waa2	NO DEF	⿸𠂇工:⿳&CDP-8BC6;田一	missing				
1075	本來	22	bun2loi4	original/originally/at first/it goes without saying/of course	本:⿻木从	missing				
1076	生日	22	saang1jat6	birthday	生:日	missing				
1077	白紙	22	*baak6zi2	NO DEF	白:⿰糹氏[GTV],⿰糸氏[JK]	missing				
1078	尖	22	zim1	point (of needle)/sharp/shrewd/pointed	⿱小大	missing				
1079	年紀	22	nin4gei2	age	年:⿰糹己[GTV],⿰糸己[JK]	missing				
1080	百	22	baak3	hundred/100	⿱一白	covered_main	places-and-times.js	baak3	how:quantity count_value numeral_hundred	
1081	男	22	naam4	male/Baron, lowest of five orders of nobility 五等爵位[ńgh dáng jeuk waih]	⿱田力	missing				
1082	事實	22	si6sat6	a fact/the fact that	事:⿱宀貫	missing				
1083	兩間	22	*loeng5gaan1|gaan3	NO DEF	⿱一&CDP-8C62;:⿵門日	missing				
1084	尚	22	soeng6	still/yet/to value/to esteem/surname Shang	⿱⺌冋	missing				
1085	於是	22	jyu1si6	thereupon/as a result/consequently/thus/hence	⿰方仒:⿱日𤴓	missing				
1086	版	22	baan2	a register/a block of printing/an edition/version/page	⿰片反	missing				
1087	直到	22	zik6dou3	until	⿱十&CDP-8BA5;[GT],⿱十⿺𠃊目[JK]:⿰至刂	missing				
1088	空白	22	hung1baak6	blank space	⿱穴工:白	missing				
1089	指	22	zi2	finger/to point/to direct/to indicate/to refer to/to rely on/to count on/(hair) stands stiffly on end	⿰扌旨	missing				
1090	要點	22	jiu3dim2	main point/essential	⿱覀女:⿰黑占	missing				
1091	負責	22	fu6zaak3	to be in charge of/to take responsibility for/to be to blame/conscientious	⿱𠂊貝:⿱龶貝	missing				
1092	冤墓	22	*jyun1mou6	NO DEF	⿱冖兔:⿱莫土	missing				
1093	畫條	22	*waak6|waa2tiu4	NO DEF	⿳&CDP-8BC6;田一:⿰&CDP-8B7A;条[G],⿰&CDP-8B7A;&CDP-8BFB;[TJKV]	missing				
1094	電子	22	din6zi2	electronic/electron	⿱雨&CDP-8BE8;:子	missing				
1095	標	22	biu1	the topmost branches of a tree/surface/sign/to mark/(outward) sign/indication/prize/award/bid	⿰木票	missing				
1096	談	22	taam4	to speak/to talk/to converse/to chat/to discuss/surname Tan	⿰言炎	missing				
1097	聯	22	lyun4	to ally/to unite/to join	⿰耳𢇇	covered_main	referents-and-boundaries.js	lyun4	doing:verb connection_verb	
1098	講返	22	*gong2faan1|faan2	NO DEF	⿰言冓:⿺辶反	missing				
1099	舊年	22	gau6nin2	last year/the Chinese New Year (i.e. the new year in the old calendar)	⿱萑臼[GJK],⿱雈臼[T]:年	missing				
1100	覆	22	fuk1|fau6	to cover/to overflow/to reply to a letter/to overturn/to capsize	⿱覀復	missing				
1101	醫生	22	ji1sang1	doctor	⿱殹酉:生	surface_covered_sense_uncertain	people-and-address.js	ji1 saang1	who:person_np	
1102	九點	21	*gau2dim2	NO DEF	九:⿰黑占	missing				
1103	大約	21	daai6joek3	approximately/about	⿻一人:⿰糹勺[GTV],⿰糸勺[JK]	missing				
1104	分開	21	fan1hoi1	to separate/to part	⿱八刀:⿵門开	missing				
1105	升	21	sing1	to raise/to hoist/to promote/metric liter (also written 公升)/measure for dry grain equal to one-tenth dou 斗	⿱丿廾	missing				
1106	廿	21	jaa6|nim6|je6	twenty (20), in a limited number of set expressions/also written using banker's character 念	廿	missing				
1107	打個	21	*daa2|daa1go3	NO DEF	⿰扌丁:⿰亻固	missing				
1108	白色	21	baak6sik1	white/fig. reactionary	白:⿱𠂊巴	missing				
1109	行去	21	*hang4|haang4|hang6|hong4|hong2heoi3	NO DEF	⿰彳亍:⿱土厶	missing				
1110	形狀	21	jing4zong6	form/shape	⿰开彡:⿰爿犬	missing				
1111	我想問	21	*ngo5soeng2man6	NO DEF	我:⿱相心:⿵門口	missing				
1112	改變	21	goi2bin3	to change/to alter/to transform	⿰己攵:⿱䜌攵	missing				
1113	私人	21	si1jan4	private (citizen)/private	⿰禾厶:人	missing				
1114	兩個韻	21	*loeng5go3wan6	NO DEF	⿱一&CDP-8C62;:⿰亻固:⿰音員	missing				
1115	受山	21	*sau6saan1	NO DEF	⿱&CDP-8BB8;又:山	missing				
1116	底下	21	dai2haa6	the location below sth/afterwards	⿸广氐:⿱一卜	missing				
1117	東行	21	*dung1hang4|haang4|hang6|hong4|hong2	NO DEF	東:⿰彳亍	missing				
1118	長方形	21	coeng4fong1jing4	rectangle	⿳&CDP-884A;一&CDP-8CC6;:⿱亠&CDP-8B6C;:⿰开彡	missing				
1119	航	21	hong4	boat/ship/vessel/craft/to navigate/to sail	⿰舟亢	missing				
1120	兜返	21	*dau1faan1|faan2	NO DEF	⿱⿲&CDP-8CBD;白コ儿:⿺辶反	missing				
1121	捱	21	ngaai4	to suffer/to endure/to pull through (hard times)/to delay/to stall/to play for time/to dawdle	⿰扌厓	missing				
1122	終於	21	zung1jyu1	at last/in the end/finally/eventually	⿰糹冬[GTV],⿰糸冬[JK]:⿰方仒	missing				
1123	處理	21	cyu2lei5	to handle/to treat/to deal with/to process	⿸虍処:⿰王里	missing				
1124	單	21	daan1	bill/list/form/CL:張[jēung]/single/only/sole/odd number	⿱吅&CDP-8BD9;	covered_main	study-suite.js	daan1	measure_word:classifier_case_order_or_news_item	
1125	幾耐	21	*gei2|gei1noi6	NO DEF	⿹&CDP-8BA4;人:⿰而寸	missing				
1126	新聞	21	san1man4	news	⿰亲斤:⿵門耳	covered_main	study-suite.js	san1 man4	what:information_noun news_noun	
